net,length_um
_14982_,1583.59
_18418_,1554.39
_15115_,1523.68
_14945_,1520.89
_15142_,1476.26
_15137_,1432.155
_14942_,1430.76
_15133_,1422.76
_14972_,1389.54
_14974_,1382.56
_15119_,1373.12
net415,1371.42
_15111_,1349.31
_15127_,1344.7
_15107_,1341.21
_15147_,1340.695
_15034_,1331.055
_14969_,1307.7
_18589_,1305.1
_15053_,1304.52
_19071_,1300.405
_19330_,1299.43
_15104_,1294.88
_15117_,1282.02
_15140_,1276.745
_14955_,1275.81
_15154_,1271.02
_14953_,1257.86
_15099_,1254.69
_14978_,1237.68
_15063_,1219.13
_19489_,1204.65
_15152_,1184.26
_14947_,1181.69
_15037_,1180.99
_15061_,1180.69
_15065_,1166.84
_18396_,1166.22
_15032_,1162.915
_14986_,1162.21
_15135_,1159.12
_15150_,1155.19
_15166_,1154.38
_15074_,1153.84
_15030_,1152.155
_14964_,1148.2
_19020_,1137.61
_15077_,1134.68
_18105_,1132.73
_15131_,1124.62
_18537_,1113.92
_15041_,1105.36
_19230_,1102.23
_15080_,1099.865
_15129_,1096.05
_15057_,1095.87
_18581_,1085.73
_18431_,1072.665
_15113_,1070
_18610_,1068.64
_14950_,1065.77
_18252_,1041.82
_15095_,1041.625
_14962_,1041.55
_18727_,1040.54
_19322_,1033.805
_15082_,1032.52
_18608_,1032.495
_14984_,1030.79
_18630_,1024.98
_15025_,1014.12
_18155_,1012.48
_15047_,1000.94
_18210_,1000.61
net4,997.6
_15121_,994.25
_18575_,993.94
_17119_,984.3
_17258_,980.46
_14976_,972.12
_18755_,968.35
_18520_,965.17
_17069_,964.65
_15109_,958.22
_18146_,947.14
_15091_,940.36
_18564_,935.48
_14996_,931.83
_17221_,920.41
_15124_,911.43
_15072_,904.7
_15043_,903.285
_14994_,903.25
_17316_,899.04
_15084_,897.94
_18204_,876.64
_18552_,875.57
clknet_2_1_0_clk,873.68
_15173_,873.26
_15008_,864.64
_17780_,864.41
_19458_,862.84
_17850_,862.09
_18211_,858.07
net233,856.08
_15170_,855.42
_07722_,854.43
_18631_,852.77
_18018_,849.755
_17212_,848.91
_19499_,848.78
_15102_,847.2
_17266_,844.375
_14938_,835.13
clknet_2_2_0_clk,834.61
_17297_,833.765
_15163_,830.4
_15157_,820.47
clknet_2_3_0_clk,819.72
_14998_,818.07
_17090_,817.835
_17101_,816.915
_17870_,816.565
_15168_,815.365
_17288_,815.02
_17249_,812.03
_17140_,811.53
_18080_,809.06
_18723_,809.02
_18222_,808.71
_18128_,805.68
_17463_,802.385
_18448_,799.71
clknet_2_0_0_clk,798.71
_18148_,797.04
_19363_,792.63
_15021_,792.18
_15089_,790.51
_17088_,789.61
_08892_,787.725
_17933_,785.74
_14988_,783
_15023_,782.05
_18184_,781.71
_17789_,780.82
clknet_5_23__leaf_clk,777.48
_17194_,776.175
_17240_,771.83
clknet_0_clk,771.81
_18258_,771.59
net414,771.32
_15068_,768.4
_18129_,764.6
_18071_,762.32
_17499_,760.6
_15059_,760.11
_15159_,754.38
_15050_,750.22
_17481_,747.615
_17734_,745.74
_18458_,743.41
_17386_,737.975
_17150_,737.72
_17144_,730.12
_19231_,729.435
_19408_,728.555
_18040_,727.16
_17633_,725.66
_17869_,723.845
_17384_,723.025
_17094_,721.215
_14990_,719.19
_15003_,719.135
_14967_,717.46
_17760_,716.5
_18195_,713.64
_17105_,712.75
_17110_,708.975
_17625_,708.91
_18490_,707.54
_17973_,703.885
_16979_,703.21
_18036_,699.81
_18209_,696.865
_18135_,696.05
_17153_,694.67
_18525_,693.92
_18009_,692.36
_17109_,691.89
_17957_,691.01
_17157_,687.23
_17230_,686.505
_17596_,685.695
_17726_,683.74
_18060_,683.15
_17045_,681.08
_17148_,680.015
_13859_,677.27
