net,length_um
_14982_,1469.63
_14942_,1438.51
_15142_,1406.67
_15147_,1405.19
_14974_,1396.88
_18589_,1385.77
_14972_,1371.16
net415,1370.58
_15137_,1368.73
_15115_,1367.18
_18418_,1366.59
_15111_,1361.83
_14953_,1345.88
_15131_,1327.52
_15104_,1318.01
_19489_,1314.29
_15119_,1311.14
_14945_,1308.63
_15133_,1294.08
_15127_,1290.41
_14955_,1289.25
_14969_,1287.09
_15065_,1286.96
_15053_,1284.77
_19330_,1271.19
_15117_,1268.55
_15140_,1267.43
_15099_,1245.02
_15154_,1237.53
_15063_,1227.82
_18210_,1226.435
_19071_,1220.495
_15107_,1214.15
_15150_,1211.06
_15152_,1210.43
_15074_,1206.54
_15077_,1192.84
_14986_,1190.35
_14947_,1178.09
_14964_,1175.42
_18396_,1174.04
_15135_,1168.42
_15037_,1167.62
_15034_,1160.32
_14978_,1144.53
_19020_,1140.8
_18105_,1139.865
_15061_,1134.03
_15030_,1133.8
_15025_,1119.23
_15080_,1109.68
_15032_,1108.65
_18537_,1081.9
_18581_,1080.56
_18431_,1080.23
_15113_,1077.28
_18610_,1074.74
_19230_,1074.06
_15047_,1070.23
_15129_,1069.28
_15057_,1067.68
_18727_,1052.43
_14984_,1051.01
_17266_,1047.45
_18252_,1045.79
_18608_,1044.39
_19322_,1040.86
_15082_,1031.56
_18630_,1030.68
_14950_,1030.41
_15041_,1030.26
_18146_,1027.315
_17119_,1022.52
_18155_,1021.21
_17258_,1018.565
_15095_,1004.4
_15166_,1003.12
_14994_,1000.42
net4,999.25
_15121_,997.24
_18520_,990.275
_14962_,988.68
_18564_,972.39
_17069_,967.22
_18755_,963.545
_15072_,947.13
_15109_,947
_15124_,926.74
_18195_,925.825
_17221_,925.09
_14996_,917.21
_14938_,914.375
_15170_,912.3
_15068_,909.89
_18575_,905.64
_15091_,904.17
_18552_,898.66
_15043_,898.1
_17316_,894.76
_15173_,890.71
_14976_,882.99
_17194_,875.61
_07722_,864.26
clknet_2_1_0_clk,863.22
_15084_,862.675
_15163_,859.81
_18080_,858.97
_19499_,857.86
clknet_2_3_0_clk,855.36
net233,852.09
_19458_,851.47
_15089_,849.17
_17297_,848.165
_17957_,847.21
_15102_,843.99
_17933_,840.74
_15008_,839.48
_17869_,838.77
_14998_,837.08
_18723_,835.54
clknet_2_2_0_clk,834.65
_18631_,832.44
_17249_,831.03
_17780_,825.42
_17789_,825.345
_17870_,824.72
_17212_,824.01
_17101_,823.71
_17850_,820.38
_15168_,818.58
clknet_0_clk,818.375
_15157_,814.78
_18148_,810.88
_18211_,807.24
_18448_,805.08
_18258_,803.415
_18129_,802.365
_17463_,801.25
_18178_,800.245
_17140_,792.51
_19363_,792.475
clknet_2_0_0_clk,791.26
_14988_,790.25
_18018_,790.095
_17240_,789.5
